"x_name","z_name","z_level","w_name","w_level","beta","lb","ub","p_int","ci width"
"lead, t1","Plasma total folate conc., t1","≥20ᵗʰ percentile","mthfr677_cat","C|C",-0.4,-1.6,0.7,NA,2.3
"lead, t1","Plasma total folate conc., t1","≥20ᵗʰ percentile","mthfr677_cat","C|T",0.2,-0.9,1.4,0.4179,2.3
"lead, t1","Plasma total folate conc., t1","≥20ᵗʰ percentile","mthfr677_cat","T|T",0.7,-1.8,3.1,0.4257,4.9
"lead, t1","Plasma total folate conc., t1","<20ᵗʰ percentile","mthfr677_cat","C|C",1.6,-1.4,4.6,0.2046,6
"lead, t1","Plasma total folate conc., t1","<20ᵗʰ percentile","mthfr677_cat","C|T",3.2,0.1,6.3,0.6593,6.2
"lead, t1","Plasma total folate conc., t1","<20ᵗʰ percentile","mthfr677_cat","T|T",-1.1,-5.7,3.5,0.1865,9.2
"lead, t3","Plasma total folate conc., t3","≥20ᵗʰ percentile","mthfr677_cat","C|C",-1.3,-2.5,-0.1,NA,2.4
"lead, t3","Plasma total folate conc., t3","≥20ᵗʰ percentile","mthfr677_cat","C|T",-0.1,-1.5,1.3,0.1477,2.8
"lead, t3","Plasma total folate conc., t3","≥20ᵗʰ percentile","mthfr677_cat","T|T",1.6,-0.6,3.8,0.0196,4.4
"lead, t3","Plasma total folate conc., t3","<20ᵗʰ percentile","mthfr677_cat","C|C",2.2,0.1,4.3,0.003,4.2
"lead, t3","Plasma total folate conc., t3","<20ᵗʰ percentile","mthfr677_cat","C|T",1.9,-0.6,4.4,0.3725,5
"lead, t3","Plasma total folate conc., t3","<20ᵗʰ percentile","mthfr677_cat","T|T",-0.8,-17.1,15.5,0.4745,32.6
